feature,summary,sample,x,y,sample_text
90,Grammy Award Nominations and Wins,"""Bryson is winner of two Grammy Awards.""",13.091671,2.0283043,Bryson is winner of two Grammy Awards.
91,"Locations: Madison, Wisconsin, Illinois, County, Nebraska, Nebraska, New York, United States","""It is located at 200 South Madison Street..""",12.00651,8.138564,It is located at 200 South Madison Street..
92,"Bases, Home Locations, Military Operations","""Its home base is Kariya City.""",9.0149765,3.649186,Its home base is Kariya City.
93,"Historical Figures, Places, and Events","""Nursahat Pazziyev is a Turkmen boxer.""",8.597382,7.023897,Nursahat Pazziyev is a Turkmen boxer.
94,Record-Breaking Performances in Sports,"""Young is the only pitcher in MLB history to start more than 800 career games.""",13.20764,2.920528,Young is the only pitcher in MLB history to start more than 800 career games.
95,Titles' Extinction or Dormancy Due to Lineage Breaks,"""The title became extinct on the death of the second Baronet in 1730.""",11.968751,2.0122778,The title became extinct on the death of the second Baronet in 1730.
96,"Events, Dates, Locations (various)","""It took place in Frankfurt on October 1.""",12.84531,1.4154304,It took place in Frankfurt on October 1.
97,"Long snapper references, Amino acid derivatives, Marine entities (Snappers, Kappadione, Snapper Island)","""Snappers and groupers spawn here.""",9.145722,7.43595,Snappers and groupers spawn here.
98,"People, Events, and Art (Media or Sports)","""Eddie Finucane died on 24 February 1991.""",12.563146,0.95044875,Eddie Finucane died on 24 February 1991.
99,Lancaster-Related Entities or Locations,"""Much of the surrounding land is owned by the Duchy of Lancaster.""",9.2389,7.160059,Much of the surrounding land is owned by the Duchy of Lancaster.
100,"Release Cycles, Production Processes, Revisions & Adaptations","""The revised song and several live recordings were later released.""",9.431248,1.5576628,The revised song and several live recordings were later released.
101,"Places, People, Names","""In 1917, the division participated in the Second Battle of the Aisne.""",11.33042,7.377927,"In 1917, the division participated in the Second Battle of the Aisne."
102,"Entrepreneurial, Business Ownership, Innovation","""He owned Smooth Island, near Dunalley.""",11.723747,2.4717662,"He owned Smooth Island, near Dunalley."
103,Competition Participation History,"""They have previously participated in the 2012 Durand Cup.""",13.163333,2.1212177,They have previously participated in the 2012 Durand Cup.
104,"Elected Representatives, Government Positions, Political Leadership","""From 2009 to 2012 he served as Deputy of the LXI Legislature of the Mexican Congress representing Chiapas.""",12.0866375,2.931316,From 2009 to 2012 he served as Deputy of the LXI Legislature of the Mexican Congress representing Chiapas.
105,"Sports, Gender Equality, Competition","""The Club is open to male and female athletes.""",7.8261323,0.026455045,The Club is open to male and female athletes.
106,"Games, Villages, Blocks (or Construction)","""His work has influenced games such as Minecraft.""",9.8961315,3.0808077,His work has influenced games such as Minecraft.
107,"Transfer, Locations, Entertainment","""To the southwest is Monge.""",9.414679,1.7679873,To the southwest is Monge.
108,"Interaction, Intermediation, Interconnectedness","""Intervals is the second and final studio album by See You Next Tuesday.""",10.811918,4.82608,Intervals is the second and final studio album by See You Next Tuesday.
109,"Cardiovascular Diseases, Health Disorders, Disease Risk Factors","""Their presence is linked heart diseases.""",9.007991,4.421469,Their presence is linked heart diseases.
110,Famous Rock Songs,"""It reached #7 on Billboard's Alternative Songs chart and #16 on the Rock Songs chart.""",9.940091,-1.1088436,It reached #7 on Billboard's Alternative Songs chart and #16 on the Rock Songs chart.
111,"Uncontested, Unproven, Unreleased","""12 seats were uncontested.""",9.689186,2.530144,12 seats were uncontested.
112,"Notable Individuals, Deaths, Famous Residents","""The following is a list of notable Eritreans.""",9.5323925,0.7132048,The following is a list of notable Eritreans.
113,"Representatives at Competitions (Olympics, World Championships, etc.), Country Identification","""He competed at the 2008 Summer Olympics for his native country.""",7.6385713,2.1444511,He competed at the 2008 Summer Olympics for his native country.
114,"Films (Various Countries, Genres, Eras)","""El Grito sagrado is a 1954 Argentine film.""",10.906702,-0.14504756,El Grito sagrado is a 1954 Argentine film.
115,Crustaceans and Related Topics,"""They also are called giant crab spiders because of their size and appearance.""",8.92359,6.7107954,They also are called giant crab spiders because of their size and appearance.
116,"Titles, Thrillers, Artillery, Publications, Anthologies","""The event coincided with the 25th anniversary of Jackson's album Thriller.""",10.422577,7.5864463,The event coincided with the 25th anniversary of Jackson's album Thriller.
117,"Knitting, Crafting, Accessories","""Typically made from a knitted material, popular styles of knit currently are the cable and fairisle knit.""",8.926381,4.325491,"Typically made from a knitted material, popular styles of knit currently are the cable and fairisle knit."
118,"Relegation, Promotion, Competitive Ranking","""On 20 August 2011, Ballinhassig were relegated from the championship following a 0-12 to 0-13 defeat by Bishopstown.""",13.492529,3.9716957,"On 20 August 2011, Ballinhassig were relegated from the championship following a 0-12 to 0-13 defeat by Bishopstown."
119,"Winter Olympic Games, Competitions, International Participation","""Bosnia and Herzegovina will compete at the 2012 Winter Youth Olympics in Innsbruck, Austria.""",13.039495,1.8644651,"Bosnia and Herzegovina will compete at the 2012 Winter Youth Olympics in Innsbruck, Austria."
120,"Peninsulas, Locations, Various Regions","""The Bruce Peninsula is a peninsula in Ontario, Canada, that lies between Georgian Bay and the main basin of Lake Huron.""",8.812631,6.9002466,"The Bruce Peninsula is a peninsula in Ontario, Canada, that lies between Georgian Bay and the main basin of Lake Huron."
121,"External Influences, Resources, Relationships","""Oil revenues also count as external rent.""",8.783233,4.832834,Oil revenues also count as external rent.
122,"Historic Places/Locations, Spring (Season/Town), Geologic Formations","""Well Spring another listed historic place.""",8.708512,6.239436,Well Spring another listed historic place.
123,"Directions, Orientation, Navigation","""It is presented in the 5' to 3' direction.""",7.4768043,4.651261,It is presented in the 5' to 3' direction.
124,"Hosts and Hosting, Parasites, Events","""Its primary hosts are bats.""",10.48407,0.96296436,Its primary hosts are bats.
125,"Tropical, Global Distribution","""It is known to live in tropical, freshwater areas.""",7.927638,5.2415133,"It is known to live in tropical, freshwater areas."
126,"Sacred Heart, Devotion, Veneration, or Dedication","""In this church, Sacred Heart of Jesus is venerated.""",9.427249,4.9007463,"In this church, Sacred Heart of Jesus is venerated."
127,"Historic, Episcopal, Epithets (Naming)","""Emmanuel Episcopal Church is an historic church building at 50 Emmanuel Church Road in Killingworth, Connecticut.""",11.965354,6.378405,"Emmanuel Episcopal Church is an historic church building at 50 Emmanuel Church Road in Killingworth, Connecticut."
128,"""Titles related to planets, albums, series, or projects""","""Honeyborne conceived Blue Planet II in 2013.""",11.475429,-0.32974717,Honeyborne conceived Blue Planet II in 2013.
129,"Albums, Release Years, Record Labels","""It was released on Season of Mist in 2011.""",11.547535,-0.6781947,It was released on Season of Mist in 2011.
130,"Hymenopterans, Fungal Pathogens, Natural Landmarks (or Geographical Features)","""Cicero says.""",9.690139,6.3742237,Cicero says.
131,"Shell structures, Bivalve classification, Colorful species","""The shell is rather evolute, whorl section circular to oval.""",8.835875,6.7245207,"The shell is rather evolute, whorl section circular to oval."
132,"Prediction and Forecasting, Perception, Prophecy","""Ornithologists and \""bird lovers\"" can often predict to the day when a particular species will show up in their area.""",9.797729,2.671022,"Ornithologists and ""bird lovers"" can often predict to the day when a particular species will show up in their area."
133,"Workshops, Creativity, Education","""He also conducts writers workshops.""",11.403727,3.7595284,He also conducts writers workshops.
134,"Services, Employment, Provision","""Services provide employment for 25% of the population.""",9.21573,3.017372,Services provide employment for 25% of the population.
135,"Annual or recurring events/phenomena, Acts of Parliament, and specific instances/types.","""Fruits are black berries.""",8.841501,2.054404,Fruits are black berries.
136,People named Scott across various professions and fields,"""Scott Frazer is a British stage and screen actor.""",12.350801,6.8388615,Scott Frazer is a British stage and screen actor.
137,CD releases and re-issues,"""It was limited to 1,000 copies on CD.""",11.193895,-0.90921557,"It was limited to 1,000 copies on CD."
138,"Closure of entities, locations, or programs","""It closed in June 2014.""",11.502629,1.5343695,It closed in June 2014.
139,"Medical Technology, Artificial Systems, Biological Study","""The Embrace infant warmer is estimated to have helped over 150,000 babies to date.""",9.582086,4.7090955,"The Embrace infant warmer is estimated to have helped over 150,000 babies to date."
140,"Characters, Performances, Portrayals","""He was played by Trace Beaulieu.""",10.0653305,0.35667542,He was played by Trace Beaulieu.
141,Professionally Diverse Individuals,"""He is a waiter.""",12.006885,2.8533924,He is a waiter.
142,"Elected Leadership, Political Affiliation, Media/News Figures","""She is the current Majority Leader.""",9.203001,1.7644454,She is the current Majority Leader.
143,"Separated, Released, Aired (or Premiered)","""In 1978 it was separated into four independent universities.""",7.5500264,1.143347,In 1978 it was separated into four independent universities.
144,Christian Sacraments and Ordinations,"""The main altar was consecrated in the name of Saint Nicholas.""",10.826323,5.4574876,The main altar was consecrated in the name of Saint Nicholas.
145,Swimmers (or Swimming Competitions),"""Wang Shijia is a Chinese swimmer.""",12.398605,5.6753855,Wang Shijia is a Chinese swimmer.
146,"Local, Governing, Bodies","""The council only has one seat.""",14.019225,2.565443,The council only has one seat.
147,Michigan-Related Entities or Events,"""It was listed on the National Register of Historic Places in 1971 and designated a Michigan State Historic Site in 1970.""",12.537772,8.034105,It was listed on the National Register of Historic Places in 1971 and designated a Michigan State Historic Site in 1970.
148,"Pricing and Costs, Market Value, Affordability","""The price is $0.75.""",10.329851,4.029981,The price is $0.75.
149,"Route, Navigation, Geography","""The route was established in 1976.""",7.127039,4.624964,The route was established in 1976.
150,"Names, Locations, Cultural Artifacts","""The Kabaras are said to have originally been Banyala.""",11.035589,9.109121,The Kabaras are said to have originally been Banyala.
151,"Martial Arts Practices, Global Distribution","""It became popular in Punjab as it was part of their martial traditions.""",7.859062,3.506639,It became popular in Punjab as it was part of their martial traditions.
152,"Manufacturers, Fictional Characters, Comic Books, and Miscellaneous Entities","""Oscillator is an EP by Information Society.""",9.974821,7.5353837,Oscillator is an EP by Information Society.
153,"Geographical Entities and Individuals, Origins and Locations","""Salamat was one of the 14 prefectures of Chad.""",9.92185,8.023317,Salamat was one of the 14 prefectures of Chad.
154,"Individuals associated with various Bell-related entities (Bell System, Bell Laboratories, Bell Media, etc.) or named Bell.","""The primary customer outside of the Bell System was the United States Government.""",9.660017,9.507251,The primary customer outside of the Bell System was the United States Government.
155,Constitutional Documents and Rights,"""The Constitution of Serbia guarantees freedom of speech.""",11.339846,3.2507076,The Constitution of Serbia guarantees freedom of speech.
156,"International Sports Competitions, Year-Specific Events, Championship Results","""The following is the final results of the 1981 Asian Wrestling Championships.""",13.164309,1.3444208,The following is the final results of the 1981 Asian Wrestling Championships.
157,"Interaction, Negotiation, Information, Technology, Activity","""The Act provides for a list of terrorist entities to be established and maintained.""",9.918534,3.7703135,The Act provides for a list of terrorist entities to be established and maintained.
158,"Scientific Descriptions, Various Topics, Diverse Dates","""It was described by Ball in 2001.""",12.121618,-0.06234244,It was described by Ball in 2001.
159,"Pirate, Sports, Geography","""Pirate Party is a label adopted by political parties in different countries.""",8.917327,6.790759,Pirate Party is a label adopted by political parties in different countries.
160,"Public Figures and Icons (Person, Musician, Dancer, Saint, Boxer, Character, Scholar, Pharaoh, Musician's Likeness)","""He was removed on November 1 2010.""",11.976855,2.5485582,He was removed on November 1 2010.
161,"Listed Entities, Historical Dates, Establishments","""It was listed on Singapore Exchange Securities Trading Limited on 14 December 2006.""",12.001243,0.9171458,It was listed on Singapore Exchange Securities Trading Limited on 14 December 2006.
162,"Animals, Artifacts, and Places","""They were frequently accompanied with a glass of beer.""",9.382311,1.9479378,They were frequently accompanied with a glass of beer.
163,"Can Cause Harm, Can Be Manipulated, Can Persist or Recur","""It can cause disease in humans.""",8.939856,2.7801135,It can cause disease in humans.
164,Vehicles and Transportation,"""Six of the nine people in the truck were killed.""",8.027326,4.701145,Six of the nine people in the truck were killed.
165,"College Sports Teams, Historical Teams, Military Cavalry","""The 1956 Virginia Cavaliers football team represented the University of Virginia during the 1956 college football season.""",7.8928595,7.2452297,The 1956 Virginia Cavaliers football team represented the University of Virginia during the 1956 college football season.
166,"Hollywood, Entertainment, California","""He died in Hollywood from lung cancer.""",9.158496,7.7658567,He died in Hollywood from lung cancer.
167,"Government, Ministerial Roles, Public Service","""His initial ministry consisted of the following Cabinet ministers and their departments.""",12.402574,3.081623,His initial ministry consisted of the following Cabinet ministers and their departments.
168,"Butterflies, Various Regions, Genus and Species","""This is a list of butterflies of Chile.""",7.425811,6.6105075,This is a list of butterflies of Chile.
169,"Dance Music, Nightclubs, Chart Hits","""It reached number 29 on the Hot Dance Club Songs chart.""",10.043832,-0.8682237,It reached number 29 on the Hot Dance Club Songs chart.
170,"Visual Effects, Matrices, Multimers","""It received an Academy Award for Best Visual Effects nomination, but lost to The Matrix.""",11.817258,8.299746,"It received an Academy Award for Best Visual Effects nomination, but lost to The Matrix."
171,"Geographically and Culturally Diverse Entities, Brands, and Individuals","""Altar refers to the altar in Christian churches, which holds the sacrament of Holy Communion.""",9.788234,5.0910454,"Altar refers to the altar in Christian churches, which holds the sacrament of Holy Communion."
172,"United States Marine Corps, Military Units, Personnel","""CLR-4 is a Regiment of the United States Marine Corps.""",12.087466,7.656501,CLR-4 is a Regiment of the United States Marine Corps.
173,"Subject Locations, Life Events, Unusual Facts","""He lives in Auckland.""",8.955882,1.5155283,He lives in Auckland.
174,"People, Places, and Williams (or Will)","""Williams died suddenly in 1951.""",6.8998275,7.300559,Williams died suddenly in 1951.
175,Astronomical Objects in Constellations,"""NGC 2202 is an open cluster in the constellation Orion.""",10.752171,5.340831,NGC 2202 is an open cluster in the constellation Orion.
176,"Events, Introductions, and Births in 1948","""1948 United States Senate election in Montana took place on November 2, 1948.""",13.211426,0.9301415,"1948 United States Senate election in Montana took place on November 2, 1948."
177,Majority Prevalence,"""Ali won the fight by a majority decision.""",7.602464,2.9143956,Ali won the fight by a majority decision.
178,"Unity, Integration, Collective Strength","""Calexico Unified School District is a school district in California.""",11.953977,4.698256,Calexico Unified School District is a school district in California.
179,"Cities, Places, Names (Geographical/Personal)","""No bars to equitable relief prevent specific performance.""",8.958902,8.692218,No bars to equitable relief prevent specific performance.
180,"Locations, primarily in Asia and South America, with occasional mentions of radio stations, TV stations, and notable figures.","""XHKT-FM is a radio station in Tecate, Baja California.""",10.708349,8.742648,"XHKT-FM is a radio station in Tecate, Baja California."
181,"Industrial, Urban Development, Heritage","""There were also some small industrial estates.""",9.78988,3.9963255,There were also some small industrial estates.
182,Time on Charts or Rankings,"""The baby died three weeks after being born.""",11.472459,1.0084686,The baby died three weeks after being born.
183,"Tickets, Elections, Events","""The ticket received 1,016 votes, or 0.08%.""",10.652489,0.4012486,"The ticket received 1,016 votes, or 0.08%."
184,"Historical Figures, Time Travel, Places","""In August 1991 he created eleven more states.""",12.34209,2.2053437,In August 1991 he created eleven more states.
185,"Race Events, Various Locations","""The race length was 100km.""",12.602645,5.1294136,The race length was 100km.
186,"Independent Entities, Narratives, Locations","""His management company is Ravenhouse Management.""",7.818256,4.130493,His management company is Ravenhouse Management.
187,"Geographical Entities, Historical Figures, Cultural Artifacts","""In Sri Lanka it is known as surul appam.""",10.823147,7.709943,In Sri Lanka it is known as surul appam.
188,"English-Related Entities (Geographical Names, People, Industries)","""The Paddingtons are an English indie rock band from Hull.""",8.154292,8.291608,The Paddingtons are an English indie rock band from Hull.
